Source,Target
2999936914,327603831
266098547,327603831
3273654056,327603831
2914106567,327603831
2162918682,327603831
721113676078583809,561951831
194569649,561951831
41395765,561951831
703728477795688448,561951831
236511663,561951831
2809932824,561951831
4896101864,561951831
715506401158819842,561951831
121620014,470601082
103916294,470601082
399980158,470601082
21714936,470601082
726129800,922252315
753736682,922252315
619297137,922252315
1240213124,922252315
199537345,25832917
2714232545,25832917
718697568071327744,25832917
2177020872,25832917
2658501056,25832917
809618268,25832917
4833906334,25832917
15704270,25832917
2951182452,25832917
4828061979,7420642
14838982,7420642
19793609,7420642
25143567,7420642
73226803,7420642
1548722323,7420642
74343039,7420642
3127483450,2229179833
2756391979,2229179833
3102949174,2229179833
718903629537652736,2229179833
717403769986658304,2229179833
3306131309,2229179833
719170735256780801,2229179833
4560168137,2229179833
1183887576,2229179833
718587716250832896,2229179833
1707457476,2229179833
714996588167491584,2229179833
703033861769465857,2229179833
2670674406,3166163161
948330476,3166163161
42526071,3166163161
2656848816,3166163161
3345758518,3166163161
721528551418290176,3166163161
4330610712,3166163161
14763734,18259253
30892730,18259253
15741883,18259253
35015150,18259253
4452863541,18259253
4780988234,18259253
2540981628,18259253
135941911,18259253
4766671945,18259253
4779495894,18259253
2838523357,18259253
2434608098,1614235476
1078674224,1614235476
719942939980406784,1614235476
1478163781,1614235476
717568814796316672,1614235476
715927737425346560,1614235476
715981011675295744,1614235476
704529962833805312,1614235476
1018861255,1614235476
17801505,3304180939
2748839203,3304180939
331499688,3304180939
177672591,3304180939
3285517376,3304180939
2837713089,3304180939
2858594740,3304180939
3008104754,3304180939
1707401294,3304180939
2344682565,3304180939
3312055093,354138953
242644841,354138953
370727648,354138953
163879898,354138953
1875855499,354138953
631654377,354138953
381182126,354138953
904606368,354138953
411052422,354138953
47778434,354138953
378320846,354138953
1933335098,134875097
265100198,134875097
192788086,134875097
2535730926,134875097
1116609643,134875097
3255014747,134875097
980408646,589798214
719088138,589798214
453330524,2903158613
2362035078,2903158613
703093660481531904,2903158613
1654456644,2903158613
3234697668,2903158613
3470996714,2903158613
227064026,2903158613
4583492056,2903158613
715868005595414529,140744901
2524342620,140744901
4853533154,140744901
126800832,140744901
922252244,140744901
3379089434,140744901
139618357,140744901
3303399907,140744901
3248531646,140744901
2493693523,140744901
133819879,140744901
2942392157,2933953744
1605509238,2933953744
19185158,34245202
47773383,34245202
42398070,34245202
34166615,34245202
86608464,70017787
718183973445185536,2352543379
2391535892,2352543379
4153373067,2352543379
3128021178,2352543379
1859092435,2352543379
2193707309,2352543379
713528136411930624,2352543379
3399715493,23597388
2449016167,23597388
4703584474,23597388
68149011,23597388
4220604009,23597388
84379745,23597388
277403754,23597388
139780994,23597388
3158017400,23597388
4878083097,23597388
3461811316,23597388
33014441,22272207
1015416452,22272207
3013939403,22272207
2328928454,22272207
718988518047879168,22272207
14539215,22272207
1000886101,22272207
708575620893028352,22272207
1183887576,22272207
709447017093791744,22272207
2546187239,22272207
2544835206,22272207
3376211067,807091
2693046822,807091
2604867164,807091
1189177590,807091
16717271,807091
2297784948,807091
251896600,807091
1224291056,807091
620472313,807091
860588732,807091
502822265,21836215
1695465564,21836215
115575705,21836215
50491117,21836215
3169323523,21836215
277122908,21836215
3118768211,21836215
183467715,21836215
857473345,21836215
3065968515,21836215
383524159,21836215
297203784,21836215
4265001679,145414456
27038018,145414456
715546211281809408,145414456
23320682,145414456
720421454534307840,145414456
715413753391628288,145414456
91188514,145414456
3416153772,145414456
2157387439,145414456
64187717,145414456
363348408,145414456
59166433,330314718
2316972306,330314718
358074528,330314718
201690121,330314718
276876743,330314718
361793961,330314718
721866686928916480,14725343
523257004,14725343
623012051,14725343
705038763966210048,14725343
712712293822410752,14725343
16795628,14725343
716871989655445504,14725343
59351288,14725343
2163792091,14725343
52376183,37591209
2148665960,72921072
800773962,72921072
83030057,72921072
3166264798,72921072
721429063592755204,72921072
1649451559,72921072
1653506120,72921072
715680312844541952,72921072
543064786,132057469
715109214910160897,17749497
719316897158795264,17749497
820498164,17749497
719581249753464832,17749497
4585413680,17749497
702472280442576896,17749497
2473562271,17749497
721280503374946304,17749497
721220235928412160,17749497
3903941371,17749497
1345580348,8117362
14162802,8117362
2894471130,8117362
2339822156,8117362
269518338,8117362
4862339105,8117362
1012682347,8117362
719595513235009537,8117362
798295184,8117362
2831691707,2220632524
1398457218,162965678
4853877373,162965678
889579592,162965678
73284645,162965678
1897969111,162965678
108275802,162965678
2430607902,162965678
986095616,45058539
701960837498417152,45058539
4764038714,45058539
4688994750,45058539
4678897452,45058539
2426877609,45058539
4125343818,45058539
579023919,45058539
3837341419,45058539
998288178,45058539
25011356,45058539
3060162229,45058539
707198030781542402,4152046613
719936886278590464,4152046613
3940393733,4152046613
715126292534964224,4152046613
714919778897555461,4152046613
4157388743,4152046613
712677402493771776,4152046613
3145519899,4152046613
2957005660,4152046613
700773105728299009,473347014
718119544976486400,473347014
721147279072174080,473347014
721796245958823936,473347014
2460034575,473347014
718873560270376961,473347014
3057656343,280827427
716780818140700672,280827427
2956396777,280827427
18723666,280827427
3287916110,280827427
44828614,280827427
1925578574,280827427
80386105,280827427
1447874994,280827427
1153663074,280827427
3702669852,280827427
354213703,280827427
4872795189,332085632
518724674,332085632
339321804,332085632
2436011513,332085632
225980873,332085632
355784391,332085632
519945772,332085632
2830274057,332085632
313456015,332085632
3209073718,147530070
407474584,147530070
3294509961,147530070
3242899593,147530070
3022751925,147530070
2998977220,147530070
1890080605,147530070
4378359023,3577709712
229702297,3577709712
38962467,3577709712
23433736,3577709712
4878050283,3577709712
19252824,3577709712
823364047,3577709712
2792219988,3577709712
4431919102,3577709712
1161938948,12452392
363878320,12452392
342588084,12452392
20604101,12452392
242499894,12452392
121569282,12452392
4699021334,154106317
887563316,154106317
61243585,154106317
2676901,154106317
133864577,154106317
2892938022,154106317
3107938812,154106317
4632998417,154106317
1471018824,154106317
4849407665,154106317
705067844162056192,2989906891
3815348785,2989906891
1799316126,2989906891
4761607459,2989906891
401525686,2989906891
3373020073,2989906891
3226748101,2989906891
4134787932,2989906891
4732853694,2989906891
4719284653,2989906891
4616766716,2989906891
3045372524,2989906891
4527216931,2989906891
2336672598,2989906891
2253685206,4663261641
719751315346350080,4663261641
719014122029977600,4663261641
4656577769,4663261641
764974076,4663261641
1863009019,4663261641
971211482,4663261641
3165091783,144187870
235577382,144187870
716088751722614785,144187870
156523494,144187870
714982381002752000,144187870
715693779106201600,144187870
701230408227131392,144187870
1108063609,144187870
709723934237700100,144187870
306508611,1927408956
72435228,1927408956
47793942,1927408956
112628126,1927408956
296057631,1927408956
14763734,1927408956
3402726605,1927408956
37746104,1927408956
2617626841,1927408956
224103572,1927408956
53838199,1927408956
135827802,132286052
127555753,132286052
3926310676,132286052
717446738420883458,132286052
4878560956,132286052
714492777426522112,132286052
711275194485235712,132286052
4891361643,132286052
34629036,132286052
733491091,132286052
22498978,47928225
716702912009932800,47928225
268708679,47928225
1287960800,47928225
707919458963214336,47928225
711493848388788224,47928225
2921524491,47928225
1561508528,47928225
142796453,47928225
4877447991,47928225
89046705,47928225
62624845,47928225
718314924485816321,47928225
723887413,47928225
2293306411,47928225
721051708604846080,47572831
566863176,47572831
2955339414,47572831
720025499699908608,47572831
4804043521,47572831
1149004783,47572831
331302234,47572831
4824187929,47572831
25914041,47572831
1500098575,47572831
706677394262745089,47572831
715899807060066304,47572831
4032335032,2272546157
2250624306,2272546157
3386518511,2272546157
84057556,2272546157
545829192,2272546157
1548908874,2272546157
720121532899569666,2272546157
4075710796,2272546157
345239165,2272546157
3776978901,134362414
3323547580,134362414
2295846232,134362414
4517942002,134362414
4766079055,134362414
3269818014,134362414
471635771,134362414
2366692994,311794382
721864271643025408,311794382
721833793317769217,311794382
721798839578005504,311794382
108782791,311794382
721765652671963141,311794382
721744137121181696,311794382
715362911431036928,311794382
4888795557,518860236
706440841779388417,518860236
701819222,518860236
1344526843,518860236
462624455,518860236
2939995890,518860236
2189177077,518860236
2728716141,518860236
720284382582321152,518860236
1255653536,518860236
2899664260,518860236
709723429612756992,518860236
1562630743,2797113241
708816092567887873,16610628
20260685,16610628
4831760212,16610628
217558279,16610628
4082296583,16610628
4342499241,16610628
254989992,16610628
2880496233,16610628
2605852807,16610628
138588751,16610628
323314335,16610628
27382372,16610628
16703835,16610628
4894694163,1346805883
713907073206067200,1346805883
375847094,1346805883
2218070691,1346805883
3043894373,1346805883
306595810,1346805883
704335570223423490,1346805883
2869822045,1346805883
4601890642,1346805883
494896342,1346805883
2711030355,1346805883
3535443855,1346805883
4897866886,3400999530
702984657785106432,3400999530
824761532,3400999530
708762711144837120,3400999530
384279598,3400999530
4761306677,3400999530
4493052685,3400999530
3886335012,3400999530
589637111,3400999530
2462845395,3400999530
4243506819,3400999530
11134632,15688526
16411704,15688526
58571795,15688526
88506117,15688526
24153057,15688526
15706563,15688526
15686158,15688526
15683786,15688526
3130819552,2906489782
2888884484,2906489782
721385542982725632,1163427092
721775116296855552,1163427092
4330546452,1163427092
69345718,1163427092
4180340121,1163427092
709432571671810050,1163427092
705493923108622336,1163427092
1095106320,1163427092
2944819912,1163427092
2307367225,1163427092
915350588,1163427092
717558958895022081,1163427092
390937763,1119837114
4878294353,1119837114
3869145209,1119837114
717103762700111874,1119837114
133823275,1484884916
1938490717,1484884916
423314174,1484884916
2572620858,1484884916
715104890343833600,1484884916
2560465853,1484884916
51449505,1484884916
183144918,1484884916
24556105,195030017
23098409,195030017
714419097262538752,195030017
232330159,195030017
1908500198,195030017
154066663,195030017
4925828339,195030017
73992783,2651708190
465076193,2651708190
721800735369924608,2651708190
721791834821767168,2651708190
3078264281,2651708190
711398349,2651708190
4410158235,2651708190
720926566243434496,2651708190
3164485183,20000926
408864229,20000926
386522484,20000926
3039648034,20000926
2411429023,20000926
714329142322405377,20000926
55036027,20000926
401322198,20000926
713229712378572800,20000926
2875431326,20000926
507860739,20000926
1153035295,20000926
181327249,97217731
497169603,97217731
3356037363,97217731
3235098590,97217731
46625065,97217731
36277818,97217731
16419028,97217731
2876500829,97217731
1248825540,97217731
479854673,241918698
1909340467,241918698
2310938164,241918698
1043209398,241918698
251746736,241918698
203658940,241918698
1083208507,241918698
867061424,241918698
236319789,493527572
4856528301,493527572
234024872,493527572
2971447217,493527572
19850461,493527572
466766603,493527572
337042308,493527572
3188441817,493527572
544289899,493527572
717478556868149248,78729388
721878344514551808,78729388
606721226,78729388
26269424,78729388
2596604188,78729388
396732323,78729388
238430043,78729388
318636555,78729388
2681350325,78729388
1189333676,78729388
452335212,78729388
16703305,16377075
424441684,16377075
227114257,16377075
3595253955,16377075
321208736,16377075
81305054,16377075
705189617113280512,16377075
715540514037075969,16377075
708248879683207168,16377075
118751610,16377075
3362099141,16377075
2198094080,1876836608
19141118,1876836608
14462491,1876836608
1013374544,19865528
3125538430,19865528
717193407467233280,19865528
715162139653111808,19865528
4623097873,19865528
4793981017,19865528
579221693,19865528
355458302,19865528
713482090029965312,19865528
4384665424,19865528
2317254136,19865528
721659242625634306,524746581
135416922,524746581
2405381881,524746581
82703088,524746581
720279422616543232,524746581
721924074167934976,15941955
1649562217,15941955
2849219224,15941955
3179493427,15941955
712136552877395968,15941955
711701310781988865,15941955
2189100552,15941955
721771006281576448,15941955
2962657774,754312458
19465345,754312458
2909137452,754312458
56775481,754312458
17373593,754312458
719582177009209344,754312458
2919928499,754312458
4928300031,754312458
717619961552875524,754312458
4499606597,745070912
4574625853,745070912
138402840,745070912
4324303333,745070912
3207798687,745070912
3438200579,745070912
1202191764,745070912
186394603,745070912
147084492,745070912
354287040,745070912
3317651389,745070912
269908654,745070912
917179212,745070912
1059708626,745070912
189097775,745070912
477480934,745070912
1478986219,745070912
2174579505,3589049832
3057710660,3589049832
486321998,3589049832
2602102494,3589049832
2156843011,3589049832
3193454963,3589049832
231193826,3589049832
1907685866,627440660
700712333027516416,627440660
3293525649,627440660
402428684,627440660
2245844798,627440660
1059211226,298159560
3002403749,298159560
2444638002,298159560
2226991956,298159560
34385349,298159560
1393408656,298159560
234083321,298159560
10615232,298159560
2990104858,19865528
719629985137483776,19865528
95038094,19865528
1850259926,19865528
37971624,19865528
720161665111629824,19865528
724115991400206337,19865528
985105849,19865528
356118653,19865528
3259126782,524746581
3094612065,524746581
132337948,524746581
221392267,524746581
182384817,524746581
133515654,524746581
381814901,15941955
4721597967,15941955
2888861481,15941955
713601369089843202,15941955
212325834,15941955
1649460325,15941955
2181453624,15941955
2329266974,15941955
2557016988,15941955
723869591407992832,754312458
24259655,754312458
94495705,754312458
713048192443555840,754312458
2169548024,754312458
14313809,754312458
713051740266848256,754312458
143153337,627440660
2318211669,627440660
2765687434,627440660
478695600,627440660
715731623069802496,627440660
41680442,627440660
121746272,627440660
104198500,627440660
463355348,298159560
412538089,298159560
183751004,298159560
188797346,298159560
2459820170,31035999
3305035947,31035999
45419002,524746581
981426846,31035999
23275777,31035999
3091478146,31035999
53735063,31035999
3048749993,31035999
827727553,1350118957
1908533748,1350118957
2464596302,1350118957
62358398,1350118957
718842746711187457,1350118957
4789911981,1350118957
717592702158643200,1350118957
269952566,1350118957
247376206,1350118957
39325397,304510244
3225096516,304510244
2562095782,304510244
3613910236,304510244
629296943,304510244
112819585,304510244
239933323,304510244
2742809941,304510244
29975955,304510244
302587531,304510244
357015312,28732406
76129764,28732406
32715591,28732406
30423173,28732406
1959641286,36848049
4143198394,36848049
4798837454,36848049
387411821,36848049
450975210,36848049
4497020854,36848049
2320624262,36848049
705892875507208192,36848049
1119950774,36848049
95001048,36848049
30786762,36848049
4685547265,36848049
2571307833,36848049
31224799,36848049
721421984895098880,247503511
153966123,247503511
3984046993,247503511
94292802,247503511
4751531294,247503511
133799226,247503511
4847088248,247503511
2457056400,615322493
2245508971,615322493
2950732775,615322493
2582196835,615322493
2177014336,615322493
2473519584,615322493
965223996,615322493
1540100558,615322493
78542254,615322493
17177835,615322493
2236997372,615322493
580491895,615322493
4027013981,480329751
3003251811,33306458
1914187752,33306458
1007532962,33306458
79762076,33306458
65271980,33306458
3367184293,43669975
707014838644441089,43669975
2189354004,43669975
3932170517,43669975
708880717170806784,43669975
178907052,43669975
703530809437851649,43669975
703530379584610304,43669975
703527520201736192,43669975
64437095,43669975
367274317,43669975
3787958003,43669975
4846090275,43669975
2995208866,15762845
314643486,15762845
724243502478036992,15762845
793696958,15762845
724109157469589508,15762845
153616530,15762845
2396008805,15762845
1649416242,15762845
2635126883,15762845
333243023,18366124
3433060774,18366124
2828182122,18366124
2976841065,18366124
2590325676,18366124
455629832,18366124
435287529,18366124
2347514527,18366124
17977167,18366124
2155397071,18366124
356767759,18366124
1069124054,351656818
3152849103,351656818
4733368043,351656818
701419350864035840,351656818
3697572082,351656818
712743371199102976,351656818
711959719884103680,351656818
4341941063,351656818
3082627907,351656818
708421084098465792,351656818
708011998391443456,351656818
2257302755,2581056688
2939630980,2581056688
862663482,2581056688
539555191,2904681239
3231260318,2904681239
2931674503,2904681239
3249140718,23753692
38767418,23753692
17396566,23753692
703602867546947584,2327696930
710705609813975040,2327696930
1325631822,2327696930
408219774,2327696930
4187140639,2327696930
3555626840,2327696930
396554453,2327696930
3743428756,2327696930
17591968,381576309
1313927983,381576309
18162357,381576309
2929048437,381576309
3903239658,381576309
2496739147,381576309
108654310,381576309
3006162688,381576309
17929114,381576309
84133199,381576309
2915226708,92386584
258612298,92386584
705189172118740993,92386584
89757414,92386584
3299724794,92386584
4346334507,92386584
719914648091406337,25379275
65921484,25379275
792296370,25379275
2798346643,25379275
2660774599,25379275
4740186623,25379275
305811736,25379275
553846199,25379275
1732925538,25379275
4658722719,25379275
4159539317,25379275
3505703235,25379275
89079266,199500651
712415382745817088,199500651
1957319845,199500651
62596063,199500651
519629771,199500651
4887030129,199500651
297506714,199500651
606412878,199500651
326665662,199500651
2345214484,199500651
2790047834,199500651
75049621,253767176
2658227164,253767176
722572775181914112,253767176
714038069066932224,253767176
213231187,253767176
719479675186253824,253767176
1397571396,253767176
376321151,253767176
